source_path,source_product_identifier,sku,current_product_id,in_current_keep_set,image_reference_count,valid_image_count,image_complete,exclusion_reason
newel.com/product/american-contemporary-chrome-wall-mirror.html,American Mid-Century Chrome Wall Mirror,REG9075,product-reg9075,yes,36,0,yes,
newel.com/product/american-contemporary-circular-metal-sculpture.html,American Contemporary Circular Metal Sculpture,REG5615,product-reg5615,yes,54,54,yes,
newel.com/product/american-contemporary-curtis-jere-oxidized-brass-wall-sculpture.html,American Contemporary Curtis Jere Oxidized Brass Wall Sculpture,REG5405,product-reg5405,yes,42,41,yes,
newel.com/product/american-contemporary-custom-horse-bench.html,American Contemporary Custom Made Horse Leg Saddle Stool / Bench,NWL9008,product-nwl9008,yes,59,4,yes,
newel.com/product/american-contemporary-green-ceramic-sphere.html,American Contemporary Green Ceramic Sphere,REG9128,product-reg9128,yes,60,60,yes,
newel.com/product/american-contemporary-mustard-yellow-velvet-chairs.html,American Contemporary Mustard Yellow Velvet Chairs,064347,product-064347,yes,72,72,yes,
newel.com/product/american-contemporary-steel-mesh-stacking-chairs.html,American Contemporary Steel Mesh Stackable Chairs,064337,product-064337,yes,78,78,yes,
newel.com/product/american-contemporary-suede-bench-with-side-arms-.html,GEOFFREY BRADFIELD American Contemporary Suede Bench with Curved Side Arms,NWL7691,product-nwl7691,yes,65,65,yes,
newel.com/product/american-country-style-antique-door-coffee-table.html,American Country Style Antique Door Coffee Table,NWL9060,product-nwl9060,yes,78,7,yes,
newel.com/product/american-federal-gilt-eagle-figure.html,American Federal Gilt Eagle Figure,030601,product-030601,yes,54,1,yes,
newel.com/product/American-Federal-style-mahogany-and-gold-wall-mirror-.html,American Federal style Mahogany and Gold Wall Mirror,063836,product-063836,yes,47,43,yes,
newel.com/product/american-federal-style-small-hand-painted-floral-mirror.html,American Federal Style Small Handpainted Floral Mirror,NWL8883,product-nwl8883,yes,35,0,yes,
newel.com/product/american-federal-style-tri-panel-gold-leaf-mirror.html,American Federal Style Tri-Panel Gold Leaf Wall Mirror,063976,product-063976,yes,10,0,yes,
newel.com/product/american-mid-century-brown-channeled-leather-bench.html,American Mid-Century Brown Channel Tufted Leather Bench,063931,product-063931,yes,54,54,yes,
newel.com/product/american-mid-century-brown-leather-lounge-chairs-pair.html,American Mid-Century Brown Leather Lounge Chairs,064345,product-064345,yes,72,72,yes,
newel.com/product/american-mid-century-cubist-mirror.html,Lane American Mid-Century Cubist Mirror,REG5155,product-reg5155,yes,42,37,yes,
newel.com/product/american-mid-century-gilt-wall-mirror-with-geometric-Frame-.html,American Mid-Century Gilt Wall Mirror with Geometric Frame,NWL6131,product-nwl6131,yes,42,0,yes,
